as_of_date,open_interest,nc_long,nc_short
2022-04-12,   45660,   13641,   11043
2022-04-19,   47422,   13147,   11517
2022-04-26,   47395,   13604,   10438
2022-05-03,   45344,   13415,   10197
2022-05-10,   49984,   13844,   11151
2022-05-17,   48711,   13958,   10923
2022-05-24,   51049,   15002,   12257
2022-05-31,   52616,   14888,   13765
2022-06-07,   53659,   16695,   13295
2022-06-14,   60453,   17674,   11993
2022-06-21,   47325,   16578,   10416
2022-06-28,   49609,   15797,   10959
2022-07-05,   51890,   16703,   10524
2022-07-12,   50852,   15394,   11511
2022-07-19,   51278,   15365,    9742
2022-07-26,   53432,   16698,   10336
2022-08-02,   52465,   14984,   10041
2022-08-09,   51757,   14788,   10573
2022-08-16,   53559,   15680,   14311
2022-08-23,   52432,   16857,    9251
2022-08-30,   52728,   15476,   10114
2022-09-06,   57351,   17086,   12677
2022-09-13,   62994,   15056,   12695
2022-09-20,   54363,   14748,   14051
2022-09-27,   56411,   14946,   14956
2022-10-04,   54434,   13959,   14711
2022-10-11,   56257,   16983,   15277
2022-10-18,   54878,   15904,   15601
2022-10-25,   56318,   16498,   15358
2022-11-01,   56493,   14929,   17979
2022-11-08,   54611,   15662,   16145
2022-11-15,   53686,   13633,   14685
2022-11-22,   50542,   13473,   12864
2022-11-29,   50849,   13594,   11643
2022-12-06,   50020,   13747,   11044
2022-12-13,   62597,   14621,   10781
2022-12-20,   49009,   12498,   11595
2022-12-27,   50156,   12753,   12518
2023-01-03,   48932,   11960,   11688
2023-01-10,   50725,   11414,   13044
2023-01-17,   55003,   12324,   16451
2023-01-24,   54777,   12048,   17100
2023-01-31,   55690,   11888,   15059
2023-02-07,   55861,   11662,   14646
2023-02-14,   55237,   10802,   15367
2023-02-21,   53659,   11570,   14384
2023-02-28,   53651,   10789,   15555
2023-03-07,   52162,   11117,   13602
2023-03-14,   61292,   12227,   13521
2023-03-21,   42975,   10613,   11637
2023-03-28,   44015,   10262,   11731
2023-04-04,   46437,    7763,   11440
2023-04-11,   47494,   10321,   10747
2023-04-18,   49012,   11751,   11216
2023-04-25,   49531,   12961,   11935
2023-05-02,  255954,   73064,   59376
2023-05-09,  264599,   78800,   57002
2023-05-16,  283785,   81526,   58135
2023-05-23,  285583,   78584,   61828
2023-05-30,  310068,   85416,   72831
2023-06-06,  318085,   89542,   77268
2023-06-13,  335337,   91391,   73805
2023-06-20,  255039,   71831,   54948
2023-06-27,  265818,   79203,   62511
2023-07-03,  259143,   68020,   62783
2023-07-11,  271791,   70620,   61200
2023-07-18,  278468,   68272,   66705
2023-07-25,  272910,   59273,   71666
2023-08-01,  276532,   64211,   78084
2023-08-08,  281647,   62376,   77564
2023-08-15,  281293,   61059,   60915
2023-08-22,  278608,   61479,   53247
2023-08-29,  282272,   63942,   51656
2023-09-05,  291708,   64075,   54515
2023-09-12,  319625,   59590,   55128
2023-09-19,  241955,   55927,   53691
2023-09-26,  248727,   55953,   57889
2023-10-03,  263748,   63429,   64547
2023-10-10,  264373,   69805,   61603
2023-10-17,  265176,   77044,   62286
2023-10-24,  262564,   66330,   64935
2023-10-31,  270325,   69067,   64315
2023-11-07,  279223,   82864,   63440
2023-11-14,  284718,   70058,   65611
2023-11-21,  295027,   76132,   67623
2023-11-28,  304631,   81194,   69738
2023-12-05,  288233,   75992,   64666
2023-12-12,  348789,   72476,   58376
2023-12-19,  283394,   72084,   48466
2023-12-26,  286224,   78604,   49858
2024-01-02,  281637,   78330,   40250
2024-01-09,  287400,   78944,   43110
2024-01-16,  284650,   78680,   42510
2024-01-23,  302456,   84375,   50737
2024-01-30,  309275,   86972,   47661
2024-02-06,  301342,   83742,   50668
2024-02-13,  312885,   88518,   55105
2024-02-20,  304972,   82979,   56750
2024-02-27,  307552,   79907,   67827
2024-03-05,  309873,   69488,   69335
2024-03-12,  353521,   73204,   71077
2024-03-19,  255935,   68511,   57818
2024-03-26,  260574,   64886,   72155
2024-04-02,  266623,   64284,   71106
2024-04-09,  267024,   66179,   58367
2024-04-16,  263134,   65351,   59192
2024-04-23,  263107,   62829,   58089
2024-04-30,  261962,   61315,   60780
2024-05-07,  242910,   65707,   60326
