as_of_date,open_interest,nc_long,nc_short
2008-12-16,282915,132674,24425
2008-12-22,291022,141246,21458
2008-12-30,300448,146292,20331
2009-01-06,320391,152569,18965
2009-01-13,318185,146167,18549
2009-01-20,331507,146910,22973
2009-01-27,354191,165652,24538
2009-02-03,346288,181020,25714
2009-02-10,350858,188898,25276
2009-02-17,361619,195966,30045
2009-02-24,372697,199830,37965
2009-03-03,365271,189580,30287
2009-03-10,371321,178160,33372
2009-03-17,376237,175190,24795
2009-03-24,387177,178635,26708
2009-03-31,368618,182986,28127
2009-04-07,344929,165377,37565
2009-04-14,336930,165866,35971
2009-04-21,339226,164328,35961
2009-04-28,343037,166821,37721
2009-05-05,341461,171493,41502
2009-05-12,359517,184509,45632
2009-05-19,367931,185932,36348
2009-05-26,396965,209733,32425
2009-06-02,391057,215968,28628
2009-06-09,387181,215785,26111
2009-06-16,371997,202687,27144
2009-06-23,370347,195654,29360
2009-06-30,379199,194005,29819
2009-07-07,372985,190386,26242
2009-07-14,370509,185704,26900
2009-07-21,390939,201269,27967
2009-07-28,386340,199452,26681
2009-08-04,392834,217009,23495
2009-08-11,385002,211989,21903
2009-08-18,373810,203467,25937
2009-08-25,379629,205472,22490
2009-09-01,384703,206799,22298
2009-09-08,451713,251708,27032
2009-09-15,467892,263329,27682
2009-09-22,467145,265925,29176
2009-09-29,454585,252994,21608
2009-10-06,484307,269879,30211
2009-10-13,504187,288214,34259
2009-10-20,509678,286864,36757
2009-10-27,497479,272946,31169
2009-11-03,493991,279524,38205
2009-11-09,530505,280398,42338
2009-11-17,533119,284390,48693
2009-11-24,521253,294780,32449
2009-12-01,521433,297316,38252
2009-12-08,505652,290956,36527
2009-12-15,504368,288482,32374
2009-12-22,499233,273487,35411
2009-12-29,491712,263631,33141
2010-01-05,507643,263008,35241
2010-01-12,523266,271260,41918
2010-01-19,528924,261276,39807
2010-01-26,507565,246223,34299
2010-02-02,480860,246048,35879
2010-02-09,466905,222775,41256
2010-02-16,466509,224715,35857
2010-02-23,466572,233106,32484
2010-03-02,482786,239765,32393
2010-03-09,493909,240868,32674
2010-03-16,496481,239065,38719
2010-03-23,495143,221472,37600
2010-03-30,466678,209874,36108
2010-04-06,497388,242302,38856
2010-04-13,528856,262599,41857
2010-04-20,521338,251244,40593
2010-04-27,538591,263472,37804
2010-05-04,551616,271511,40964
2010-05-11,583504,282375,46550
2010-05-18,579758,281985,50315
2010-05-25,591360,271184,43493
2010-06-01,553950,266569,42023
2010-06-08,564792,270729,43331
2010-06-15,569204,273657,43406
2010-06-22,602411,283920,45286
2010-06-29,601138,279992,35267
2010-07-06,577732,251273,42231
2010-07-13,568078,243867,38946
2010-07-20,559473,227963,49656
2010-07-27,560066,228251,39350
2010-08-03,518643,222704,37189
2010-08-10,523078,224485,33798
2010-08-17,543674,240954,36726
2010-08-24,556464,256244,35053
2010-08-31,577352,272509,34432
2010-09-07,585564,275367,35670
2010-09-14,594058,286237,41976
2010-09-21,597592,286568,42555
2010-09-28,619408,297272,39623
2010-10-05,617204,300571,40951
2010-10-12,616382,304564,48690
2010-10-19,630626,299275,49523
2010-10-26,607582,283153,44067
2010-11-02,618381,282707,52479
2010-11-09,650764,298005,51826
2010-11-16,637435,267157,48678
2010-11-23,622712,261969,40640
2010-11-30,600158,265824,38217
2010-12-07,603632,269504,36753
2010-12-14,594652,259917,39722
2010-12-21,582133,251722,45298
2010-12-28,594490,258145,42357
2011-01-04,592613,250305,47987
2011-01-11,588179,234333,56961
2011-01-18,587832,237404,72411
2011-01-25,506047,232725,72136
2011-02-01,462907,212265,61071
2011-02-08,469779,226799,59706
2011-02-15,473345,230943,58099
2011-02-22,502119,246967,66543
2011-03-01,515784,257754,60501
2011-03-08,515214,253434,62494
2011-03-15,507760,240661,66090
2011-03-22,509131,231512,56675
2011-03-29,492087,242343,49222
2011-04-05,508956,259792,55086
2011-04-12,514871,261335,59590
2011-04-19,537946,274208,59282
2011-04-26,530132,260607,59341
2011-05-03,522323,259440,66784
2011-05-10,510151,240975,64636
2011-05-17,509164,227421,62818
2011-05-24,531180,240461,68067
2011-05-31,501400,247185,55411
2011-06-07,502251,251837,53129
2011-06-14,497780,247713,56018
2011-06-21,515016,262254,59027
2011-06-28,495761,225982,60080
2011-07-05,489782,219889,62114
2011-07-12,520202,262515,64918
2011-07-19,542342,277492,58195
2011-07-26,536454,278473,42856
2011-08-02,529403,291974,44799
2011-08-09,510223,259388,55815
2011-08-16,514107,263954,63868
2011-08-23,528520,258641,70960
2011-08-30,509326,237230,60283
2011-09-06,523294,248457,64086
2011-09-13,512068,235395,66548
2011-09-20,499356,212809,62280
2011-09-27,465414,181723,53922
2011-10-04,436920,180635,47479
2011-10-11,438090,179125,44623
2011-10-18,437739,175224,48246
2011-10-25,443723,182146,52425
2011-11-01,442435,183149,43204
2011-11-08,464982,200186,44479
2011-11-15,470490,205417,46203
2011-11-22,457070,194066,33096
2011-11-29,423176,186031,31238
2011-12-06,422956,192752,33041
2011-12-13,427699,184468,33965
2011-12-20,423465,172973,39037
2011-12-27,418945,167413,36625
2012-01-03,423275,169339,38368
2012-01-10,417923,166262,33502
2012-01-17,432838,167373,31344
2012-01-24,427032,173479,31256
2012-01-31,425133,197478,26119
2012-02-07,436061,207620,30113
2012-02-14,431164,200332,32912
2012-02-21,456676,214343,33382
2012-02-28,479044,231050,37830
2012-03-06,443249,198112,34847
2012-03-13,442319,190477,39571
2012-03-20,431039,175009,43546
2012-03-27,417304,182369,34548
2012-04-03,407761,175592,33827
2012-04-10,403989,170996,34343
2012-04-17,398526,168700,26695
2012-04-24,395389,165003,30009
2012-05-01,411972,169568,29175
2012-05-08,417798,166130,42827
2012-05-15,422091,164051,49909
2012-05-22,435706,169551,54400
2012-05-29,419991,167439,56727
2012-06-05,423941,183962,55098
2012-06-12,412244,181259,48944
2012-06-19,418492,184393,47989
2012-06-26,413618,174589,51970
2012-07-03,425068,187263,50048
2012-07-10,429854,182156,55921
2012-07-17,431317,180474,51515
2012-07-24,420296,166085,53108
2012-07-31,403403,171331,45267
2012-08-07,388254,163082,47582
2012-08-14,388187,161435,47131
2012-08-21,398747,170780,40096
2012-08-28,426559,194680,36189
