# Presidentielle 2022, 1er tour, PARTS DE VOTE (% des exprimes) par CIRCONSCRIPTION legislative et par PARTI.
# Source : ministere de l'Interieur via data.gouv.fr, jeu 'Election presidentielle 10/24 avril 2022 -
#   resultats definitifs 1er tour', ressource 'resultats-par-niveau-cirlg-t1-france-entiere.txt'.
#   URL: https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-1er-tour
# DONNEES REELLES (pas de fabrication). Agregat national reconstitue = resultats officiels au centieme.
# Partis EXPLICITES (pas de bloc) : LFI=Melenchon, PS=Hidalgo, EELV=Jadot, PCF=Roussel, RN=Le Pen,
#   ENS=Macron, LR=Pecresse, REC=Zemmour, RES=Lassalle, DLF=Dupont-Aignan, NPA=Poutou, LO=Arthaud.
# Lire avec pandas.read_csv(comment='#').
circo_id,departement,exprimes,ENS,RN,LFI,REC,LR,EELV,RES,PCF,DLF,PS,NPA,LO
29-02,29,56529,30.62,16.04,26.11,5.6,4.58,7.02,1.99,2.61,1.2,2.77,0.96,0.5
29-03,29,71427,33.46,19.32,20.2,4.74,4.75,6.38,3.09,2.49,1.64,2.32,0.96,0.66
29-04,29,64842,32.73,18.17,21.95,3.95,5.06,5.49,3.6,3.11,1.48,2.66,1.15,0.66
29-05,29,75985,35.73,19.43,18.54,3.89,5.22,6.22,3.15,2.4,1.34,2.41,0.98,0.67
29-06,29,69904,29.7,20.06,21.51,4.9,4.78,5.62,4.36,3.07,1.68,2.15,1.44,0.74
29-07,29,63994,30.68,18.31,22.64,4.47,5.23,5.75,3.97,3.14,1.77,2.13,1.19,0.71
29-08,29,68883,29.45,20.87,21.32,5.09,4.42,5.67,3.76,3.08,1.86,2.32,1.36,0.79
30-01,30,62858,21.44,27.32,25.2,9.77,3.84,3.36,2.66,2.36,1.77,1.46,0.49,0.33
30-02,30,72139,21.16,33.84,18.37,9.72,3.53,3.26,3.7,2.13,1.96,1.36,0.56,0.4
30-03,30,73020,23.39,29.83,17.74,10.05,4.25,4.06,3.65,2.32,2.09,1.53,0.67,0.42
30-04,30,70901,19.56,31.66,20.43,8.64,3.67,3.22,4.17,3.83,2.08,1.5,0.76,0.47
30-05,30,74210,19.71,26.92,25.07,7.58,3.14,3.67,4.51,4.14,1.94,2.01,0.79,0.51
30-06,30,60851,22.95,25.78,22.5,10.25,4.05,4.17,3.05,2.66,1.91,1.65,0.62,0.42
31-01,31,65127,27.9,12.27,31.94,6.54,3.63,7.15,3.34,2.12,1.45,2.68,0.65,0.32
31-02,31,80693,27.35,15.54,29.1,7.0,3.62,6.07,3.8,2.29,1.54,2.56,0.73,0.39
31-03,31,64296,32.2,11.74,24.53,8.66,5.82,7.19,3.33,1.94,1.3,2.42,0.58,0.29
31-04,31,50396,25.62,9.05,38.65,6.04,3.54,7.5,2.64,2.13,1.21,2.67,0.67,0.3
31-05,31,84229,26.0,24.92,21.05,7.19,3.44,4.56,5.3,2.14,2.05,2.24,0.69,0.42
31-06,31,92132,29.6,19.03,22.29,6.63,3.65,6.27,4.45,2.25,1.9,2.9,0.62,0.44
31-07,31,82486,23.99,24.8,22.7,7.2,3.03,4.6,5.63,2.34,1.94,2.56,0.7,0.51
31-08,31,65598,21.09,25.86,20.29,7.07,3.2,3.14,10.38,2.48,2.0,3.3,0.68,0.52
31-09,31,61260,24.64,15.41,33.21,6.12,3.18,6.19,3.58,2.3,1.45,2.71,0.73,0.47
31-10,31,84762,29.46,17.97,22.05,6.61,4.17,6.33,5.37,2.27,1.81,2.9,0.64,0.41
32-01,32,58057,24.73,21.7,19.42,6.42,4.25,3.38,10.51,2.92,2.03,3.46,0.73,0.45
32-02,32,58342,25.04,23.0,17.27,8.0,4.56,3.65,9.63,2.45,2.13,3.17,0.63,0.46
33-01,33,78315,36.66,11.69,22.17,7.58,6.16,6.86,2.58,1.75,1.35,2.07,0.84,0.28
33-02,33,54782,32.86,6.77,31.09,6.89,4.87,9.21,2.13,1.56,0.96,2.44,0.98,0.24
33-03,33,66328,27.1,12.77,32.75,5.04,3.18,7.61,3.14,2.92,1.31,2.66,1.11,0.41
33-04,33,71773,25.39,22.26,27.34,5.68,3.03,4.25,3.56,2.79,1.71,2.54,1.04,0.41
33-05,33,93319,26.33,28.06,18.76,6.71,3.56,3.87,4.83,2.56,1.85,1.83,1.16,0.48
33-06,33,84880,33.69,17.45,20.9,6.1,4.27,6.21,3.46,2.28,1.73,2.66,0.89,0.35
33-07,33,61250,32.61,14.54,24.06,5.54,4.46,7.04,3.55,2.64,1.56,2.7,0.9,0.4
33-08,33,91926,31.51,23.26,14.63,8.73,5.74,4.32,4.71,2.11,2.18,1.69,0.83,0.32
33-09,33,80961,26.24,24.81,19.82,6.15,3.73,4.32,6.3,2.72,2.08,2.32,1.04,0.49
33-10,33,64157,25.47,28.53,18.53,7.18,4.13,3.63,4.94,2.23,2.04,1.95,0.91,0.46
33-11,33,74719,20.93,36.49,17.7,5.84,3.23,2.85,4.66,2.69,2.13,1.81,1.06,0.62
